column_name,source_expression,CNT
address_line1,['AddressLine1'],2
address_line2,['AddressLine2'],2
address_line3,['AddressLine3'],2
address_line4,['AddressLine4'],2
address_line5,['AddressLine5'],2
address_line6,['AddressLine6'],2
birth_date,['BirthDate'],2
country,['Country'],2
ec_address_line1,['EmergencyContact']['ECAddressLine1'],2
ec_address_line2,['EmergencyContact']['ECAddressLine2'],2
ec_address_line3,['EmergencyContact']['ECAddressLine3'],2
ec_address_line4,['EmergencyContact']['ECAddressLine4'],2
ec_address_line5,['EmergencyContact']['ECAddressLine5'],2
ec_address_line6,['EmergencyContact']['ECAddressLine6'],2
ec_contact,['EmergencyContact']['ECContact'],2
ec_contact_email,['EmergencyContact']['ECContactEmail'],2
ec_country,['EmergencyContact']['ECCountry'],2
ec_name,['EmergencyContact']['ECName'],2
ec_primary_contact,['EmergencyContact']['ECPrimaryContact'],2
ec_relationship,['EmergencyContact']['ECRelationship'],2
forename1,['Forename1'],2
forename2,['Forename2'],2
forename3,['Forename3'],2
formatted_name,['FormattedName'],2
gender,['Gender'],2
initials,['Initials'],2
marital_status,['MaritalStatus'],2
nok_address_line1,['NextOfKin']['NOKAddressLine1'],2
nok_address_line2,['NextOfKin']['NOKAddressLine2'],2
nok_address_line3,['NextOfKin']['NOKAddressLine3'],2
nok_address_line4,['NextOfKin']['NOKAddressLine4'],2
nok_address_line5,['NextOfKin']['NOKAddressLine5'],2
nok_address_line6,['NextOfKin']['NOKAddressLine6'],2
nok_country,['NextOfKin']['NOKCountry'],2
nok_name,['NextOfKin']['NOKName'],2
nok_relationship,['NextOfKin']['NOKRelationship'],2
ni_number,['NInumber'],2
organisation_end_date,['OrganisationEndDate'],2
organisation_start_date,['OrganisationStartDate'],2
oth_addr_address_line1,['OtherAddress']['OthAddrAddressLine1'],2
oth_addr_address_line2,['OtherAddress']['OthAddrAddressLine2'],2
oth_addr_address_line3,['OtherAddress']['OthAddrAddressLine3'],2
oth_addr_address_line4,['OtherAddress']['OthAddrAddressLine4'],2
oth_addr_address_line5,['OtherAddress']['OthAddrAddressLine5'],2
oth_addr_address_line6,['OtherAddress']['OthAddrAddressLine6'],2
oth_addr_address_type,['OtherAddress']['OthAddrAddressType'],2
oth_addr_country,['OtherAddress']['OthAddrCountry'],2
person_id,['PersonID'],2
category,['Position']['Category'],2
exp_occupancy_end_date,['Position']['ExpOccupancyEndDate'],2
job_family,['Position']['JobFamily'],2
location,['Position']['Location'],2
occupancy_end_date,['Position']['OccupancyEndDate'],2
occupancy_id,['Position']['OccupancyID'],2
occupancy_start_date,['Position']['OccupancyStartDate'],2
posn_address_line1,['Position']['PositionAddresses'][0]['PosnAddressLine1'],2
posn_address_line2,['Position']['PositionAddresses'][0]['PosnAddressLine2'],2
posn_address_line3,['Position']['PositionAddresses'][0]['PosnAddressLine3'],2
posn_address_line4,['Position']['PositionAddresses'][0]['PosnAddressLine4'],2
posn_address_line5,['Position']['PositionAddresses'][0]['PosnAddressLine5'],2
posn_address_line6,['Position']['PositionAddresses'][0]['PosnAddressLine6'],2
posn_country,['Position']['PositionAddresses'][0]['PosnCountry'],2
contact_dets,['Position']['PositionContacts']['ContactDets'],2
contact_type,['Position']['PositionContacts']['ContactType'],2
position_id,['Position']['PositionID'],2
position_name,['Position']['PositionName'],2
reporting_occupant_email,['Position']['ReportingOccupantEmail'],2
reporting_occupant_id,['Position']['ReportingOccupantID'],2
reporting_occupant_name,['Position']['ReportingOccupantName'],2
reporting_position_id,['Position']['ReportingPositionID'],2
reporting_position_name,['Position']['ReportingPositionName'],2
reporting_post,['Position']['ReportingPost'],2
reporting_post_group1,['Position']['ReportingPostGroup1'],2
reporting_post_group2,['Position']['ReportingPostGroup2'],2
reporting_post_id,['Position']['ReportingPostID'],2
reporting_post_loc,['Position']['ReportingPostLoc'],2
reporting_unit,['Position']['ReportingUnit'],2
reporting_unit_group1,['Position']['ReportingUnitGroup1'],2
reporting_unit_group2,['Position']['ReportingUnitGroup2'],2
reporting_unit_id,['Position']['ReportingUnitID'],2
reporting_unit_loc,['Position']['ReportingUnitLoc'],2
structure_group1,['Position']['StructureGroup1'],2
structure_group2,['Position']['StructureGroup2'],2
preferred_name,['PreferredName'],2
preferred_surname,['PreferredSurname'],2
previous_surname,['PreviousSurname'],2
student,['Student'],2
surname,['Surname'],2
title,['Title'],2
