column_id,column_name,source_expression
1186,person_id,['PersonID']
1275,person_id,['PersonID']
1276,title,['Title']
1187,title,['Title']
1188,initials,['Initials']
1277,initials,['Initials']
1278,forename1,['Forename1']
1189,forename1,['Forename1']
1190,forename2,['Forename2']
1279,forename2,['Forename2']
1280,forename3,['Forename3']
1191,forename3,['Forename3']
1192,surname,['Surname']
1281,surname,['Surname']
1282,previous_surname,['PreviousSurname']
1193,previous_surname,['PreviousSurname']
1194,preferred_name,['PreferredName']
1283,preferred_name,['PreferredName']
1284,preferred_surname,['PreferredSurname']
1195,preferred_surname,['PreferredSurname']
1196,formatted_name,['FormattedName']
1285,formatted_name,['FormattedName']
1286,student,['Student']
1197,student,['Student']
1198,birth_date,['BirthDate']
1287,birth_date,['BirthDate']
1288,marital_status,['MaritalStatus']
1199,marital_status,['MaritalStatus']
1200,gender,['Gender']
1289,gender,['Gender']
1290,ni_number,['NInumber']
1201,ni_number,['NInumber']
1202,address_line1,['AddressLine1']
1291,address_line1,['AddressLine1']
1292,address_line2,['AddressLine2']
1203,address_line2,['AddressLine2']
1204,address_line3,['AddressLine3']
1293,address_line3,['AddressLine3']
1294,address_line4,['AddressLine4']
1205,address_line4,['AddressLine4']
1206,address_line5,['AddressLine5']
1295,address_line5,['AddressLine5']
1296,address_line6,['AddressLine6']
1207,address_line6,['AddressLine6']
1208,country,['Country']
1297,country,['Country']
1298,organisation_start_date,['OrganisationStartDate']
1209,organisation_start_date,['OrganisationStartDate']
1210,organisation_end_date,['OrganisationEndDate']
1299,organisation_end_date,['OrganisationEndDate']
1300,nok_name,['NextOfKin']['NOKName']
1211,nok_name,['NextOfKin']['NOKName']
1212,nok_relationship,['NextOfKin']['NOKRelationship']
1301,nok_relationship,['NextOfKin']['NOKRelationship']
1302,nok_address_line1,['NextOfKin']['NOKAddressLine1']
1213,nok_address_line1,['NextOfKin']['NOKAddressLine1']
1214,nok_address_line2,['NextOfKin']['NOKAddressLine2']
1303,nok_address_line2,['NextOfKin']['NOKAddressLine2']
1304,nok_address_line3,['NextOfKin']['NOKAddressLine3']
1215,nok_address_line3,['NextOfKin']['NOKAddressLine3']
1216,nok_address_line4,['NextOfKin']['NOKAddressLine4']
1305,nok_address_line4,['NextOfKin']['NOKAddressLine4']
1306,nok_address_line5,['NextOfKin']['NOKAddressLine5']
1217,nok_address_line5,['NextOfKin']['NOKAddressLine5']
1218,nok_address_line6,['NextOfKin']['NOKAddressLine6']
1307,nok_address_line6,['NextOfKin']['NOKAddressLine6']
1308,nok_country,['NextOfKin']['NOKCountry']
1219,nok_country,['NextOfKin']['NOKCountry']
1220,ec_name,['EmergencyContact']['ECName']
1309,ec_name,['EmergencyContact']['ECName']
1310,ec_primary_contact,['EmergencyContact']['ECPrimaryContact']
1221,ec_primary_contact,['EmergencyContact']['ECPrimaryContact']
1222,ec_contact,['EmergencyContact']['ECContact']
1311,ec_contact,['EmergencyContact']['ECContact']
1312,ec_contact_email,['EmergencyContact']['ECContactEmail']
1223,ec_contact_email,['EmergencyContact']['ECContactEmail']
1224,ec_relationship,['EmergencyContact']['ECRelationship']
1313,ec_relationship,['EmergencyContact']['ECRelationship']
1314,ec_address_line1,['EmergencyContact']['ECAddressLine1']
1225,ec_address_line1,['EmergencyContact']['ECAddressLine1']
1226,ec_address_line2,['EmergencyContact']['ECAddressLine2']
1315,ec_address_line2,['EmergencyContact']['ECAddressLine2']
1316,ec_address_line3,['EmergencyContact']['ECAddressLine3']
1227,ec_address_line3,['EmergencyContact']['ECAddressLine3']
1228,ec_address_line4,['EmergencyContact']['ECAddressLine4']
1317,ec_address_line4,['EmergencyContact']['ECAddressLine4']
1318,ec_address_line5,['EmergencyContact']['ECAddressLine5']
1229,ec_address_line5,['EmergencyContact']['ECAddressLine5']
1230,ec_address_line6,['EmergencyContact']['ECAddressLine6']
1319,ec_address_line6,['EmergencyContact']['ECAddressLine6']
1320,ec_country,['EmergencyContact']['ECCountry']
1231,ec_country,['EmergencyContact']['ECCountry']
1232,position_id,['Position']['PositionID']
1321,position_id,['Position']['PositionID']
1322,occupancy_id,['Position']['OccupancyID']
1233,occupancy_id,['Position']['OccupancyID']
1234,position_name,['Position']['PositionName']
1323,position_name,['Position']['PositionName']
1324,occupancy_start_date,['Position']['OccupancyStartDate']
1235,occupancy_start_date,['Position']['OccupancyStartDate']
1236,occupancy_end_date,['Position']['OccupancyEndDate']
1325,occupancy_end_date,['Position']['OccupancyEndDate']
1326,exp_occupancy_end_date,['Position']['ExpOccupancyEndDate']
1237,exp_occupancy_end_date,['Position']['ExpOccupancyEndDate']
1238,location,['Position']['Location']
1327,location,['Position']['Location']
1328,structure_group1,['Position']['StructureGroup1']
1239,structure_group1,['Position']['StructureGroup1']
1240,structure_group2,['Position']['StructureGroup2']
1329,structure_group2,['Position']['StructureGroup2']
1330,job_family,['Position']['JobFamily']
1241,job_family,['Position']['JobFamily']
1242,reporting_position_name,['Position']['ReportingPositionName']
1331,reporting_position_name,['Position']['ReportingPositionName']
1332,reporting_position_id,['Position']['ReportingPositionID']
1243,reporting_position_id,['Position']['ReportingPositionID']
1244,reporting_occupant_name,['Position']['ReportingOccupantName']
1333,reporting_occupant_name,['Position']['ReportingOccupantName']
1334,reporting_occupant_id,['Position']['ReportingOccupantID']
1245,reporting_occupant_id,['Position']['ReportingOccupantID']
1246,reporting_occupant_email,['Position']['ReportingOccupantEmail']
1335,reporting_occupant_email,['Position']['ReportingOccupantEmail']
1336,reporting_unit,['Position']['ReportingUnit']
1247,reporting_unit,['Position']['ReportingUnit']
1248,reporting_unit_id,['Position']['ReportingUnitID']
1337,reporting_unit_id,['Position']['ReportingUnitID']
1338,reporting_unit_loc,['Position']['ReportingUnitLoc']
1249,reporting_unit_loc,['Position']['ReportingUnitLoc']
1250,reporting_unit_group1,['Position']['ReportingUnitGroup1']
1339,reporting_unit_group1,['Position']['ReportingUnitGroup1']
1340,reporting_unit_group2,['Position']['ReportingUnitGroup2']
1251,reporting_unit_group2,['Position']['ReportingUnitGroup2']
1252,contact_type,['Position']['PositionContacts']['ContactType']
1341,contact_type,['Position']['PositionContacts']['ContactType']
1342,contact_dets,['Position']['PositionContacts']['ContactDets']
1253,contact_dets,['Position']['PositionContacts']['ContactDets']
1254,posn_address_line1,['Position']['PositionAddresses'][0]['PosnAddressLine1']
1343,posn_address_line1,['Position']['PositionAddresses'][0]['PosnAddressLine1']
1344,posn_address_line2,['Position']['PositionAddresses'][0]['PosnAddressLine2']
1255,posn_address_line2,['Position']['PositionAddresses'][0]['PosnAddressLine2']
1256,posn_address_line3,['Position']['PositionAddresses'][0]['PosnAddressLine3']
1345,posn_address_line3,['Position']['PositionAddresses'][0]['PosnAddressLine3']
1346,posn_address_line4,['Position']['PositionAddresses'][0]['PosnAddressLine4']
1257,posn_address_line4,['Position']['PositionAddresses'][0]['PosnAddressLine4']
1258,posn_address_line5,['Position']['PositionAddresses'][0]['PosnAddressLine5']
1347,posn_address_line5,['Position']['PositionAddresses'][0]['PosnAddressLine5']
1348,posn_address_line6,['Position']['PositionAddresses'][0]['PosnAddressLine6']
1259,posn_address_line6,['Position']['PositionAddresses'][0]['PosnAddressLine6']
1260,posn_country,['Position']['PositionAddresses'][0]['PosnCountry']
1349,posn_country,['Position']['PositionAddresses'][0]['PosnCountry']
1350,category,['Position']['Category']
1261,category,['Position']['Category']
1262,reporting_post,['Position']['ReportingPost']
1351,reporting_post,['Position']['ReportingPost']
1352,reporting_post_id,['Position']['ReportingPostID']
1263,reporting_post_id,['Position']['ReportingPostID']
1264,reporting_post_loc,['Position']['ReportingPostLoc']
1353,reporting_post_loc,['Position']['ReportingPostLoc']
1354,reporting_post_group1,['Position']['ReportingPostGroup1']
1265,reporting_post_group1,['Position']['ReportingPostGroup1']
1266,reporting_post_group2,['Position']['ReportingPostGroup2']
1355,reporting_post_group2,['Position']['ReportingPostGroup2']
1356,oth_addr_address_type,['OtherAddress']['OthAddrAddressType']
1267,oth_addr_address_type,['OtherAddress']['OthAddrAddressType']
1268,oth_addr_address_line1,['OtherAddress']['OthAddrAddressLine1']
1357,oth_addr_address_line1,['OtherAddress']['OthAddrAddressLine1']
1358,oth_addr_address_line2,['OtherAddress']['OthAddrAddressLine2']
1269,oth_addr_address_line2,['OtherAddress']['OthAddrAddressLine2']
1270,oth_addr_address_line3,['OtherAddress']['OthAddrAddressLine3']
1359,oth_addr_address_line3,['OtherAddress']['OthAddrAddressLine3']
1360,oth_addr_address_line4,['OtherAddress']['OthAddrAddressLine4']
1271,oth_addr_address_line4,['OtherAddress']['OthAddrAddressLine4']
1272,oth_addr_address_line5,['OtherAddress']['OthAddrAddressLine5']
1361,oth_addr_address_line5,['OtherAddress']['OthAddrAddressLine5']
1362,oth_addr_address_line6,['OtherAddress']['OthAddrAddressLine6']
1273,oth_addr_address_line6,['OtherAddress']['OthAddrAddressLine6']
1274,oth_addr_country,['OtherAddress']['OthAddrCountry']
1363,oth_addr_country,['OtherAddress']['OthAddrCountry']
